week,pillar,format,hook,proof_or_payoff,cta,campaign_family,status
1,Product proof,Reel,"This map starts talking when you reach the haunted place.","Screen recording: map → arrival → narration → Live Activity.",Try the first stop free.,ig_jul_product,Ready to script
1,Founder/craft/privacy,Reel,"I wanted a ghost tour that didn't turn your location into an ad profile.","Show Privacy screen and the on-device location claim.",See how Haunt works.,ig_jul_founder,Ready to script
1,Trip utility/safety,Carousel,"Going to Salem in October? Save this before you walk downtown.","Route timing, shoes/headphones, closures, and access note.",Save this for your trip.,ig_jul_salem,Needs city fact check
2,Folklore/architecture,Reel,"Most people walk past this San Francisco building without noticing…","One checked detail tied to a public place; show the source in caption.",Save this for your SF walk.,ig_jul_sf,Needs city fact check
2,Product proof,Reel,"You can hear the real thing before you pay.","Show tour intro + first-stop boundary and what Haunt Pass unlocks.",Try the first stop free.,ig_jul_product,Ready to script
2,Trip utility/safety,Carousel,"Savannah after dark: three things to know before you start.","Walking duration, weather, hours, and awareness guidance.",Save this before your walk.,ig_jul_savannah,Needs city fact check
3,Founder/craft/privacy,Reel,"What it takes to turn one city block into a narrated tour.","Show route planning, source review, script, audio, and field QA.",Follow for the next city.,ig_jul_craft,Ready to script
3,Product proof,Reel,"Walk. Arrive. Listen.","Haunted Hollywood active-tour screen with narration and map proof.",Try Los Angeles free.,ig_jul_product,Ready to record
3,Trip utility/safety,Carousel,"Boston ghost walk: what closes earlier than you think.","Checked hours/access note; avoid promises about current conditions.",Save this for later.,ig_jul_boston,Needs city fact check
4,Product proof,Reel,"Twelve cities—here's how to pick your first Haunt.","Fast city-picker browse and one-line fit for three audiences.",Choose your city.,ig_jul_product,Ready to script
4,Folklore/architecture,Reel,"A haunted story is more interesting when the building can answer back.","One responsibly framed architectural detail with source note.",Save this place.,ig_jul_folklore,Needs city selection
4,Product proof,Reel,"GPS being weird? You can still keep the story moving.","Demonstrate the app's safe manual-control path without implying distracted walking.",See how Haunt works.,ig_jul_product,Needs product check
